dataset,class,rank,feature_idx,mean_activation
soft-trigger,honest,39,57249,2.8427510261535645
soft-trigger,honest,40,870,2.835244655609131
soft-trigger,honest,41,22842,2.8327624797821045
soft-trigger,honest,42,16880,2.829667806625366
soft-trigger,honest,43,48339,2.822192430496216
soft-trigger,honest,44,29956,2.8207671642303467
soft-trigger,honest,45,47157,2.8015739917755127
soft-trigger,honest,46,50981,2.7749953269958496
soft-trigger,honest,47,47597,2.770643711090088
soft-trigger,honest,48,17856,2.7636709213256836
soft-trigger,honest,49,17148,2.7630584239959717
soft-trigger,honest,50,11186,2.754554510116577
soft-trigger,deceptive,1,51183,4.499900817871094
soft-trigger,deceptive,2,32422,4.07880163192749
soft-trigger,deceptive,3,36889,3.8538763523101807
soft-trigger,deceptive,4,49354,3.7154343128204346
soft-trigger,deceptive,5,44279,3.640399694442749
soft-trigger,deceptive,6,58700,3.5823476314544678
soft-trigger,deceptive,7,54935,3.5557312965393066
soft-trigger,deceptive,8,59268,3.5140528678894043
soft-trigger,deceptive,9,15314,3.498943567276001
soft-trigger,deceptive,10,18904,3.4711084365844727
soft-trigger,deceptive,11,55790,3.4399759769439697
soft-trigger,deceptive,12,28870,3.3422796726226807
soft-trigger,deceptive,13,53196,3.332929849624634
soft-trigger,deceptive,14,22531,3.2982430458068848
soft-trigger,deceptive,15,49365,3.2596895694732666
soft-trigger,deceptive,16,31601,3.253974676132202
soft-trigger,deceptive,17,414,3.1828389167785645
soft-trigger,deceptive,18,28583,3.1310946941375732
soft-trigger,deceptive,19,22026,3.066892385482788
soft-trigger,deceptive,20,35214,3.0505051612854004
soft-trigger,deceptive,21,34480,3.0364019870758057
soft-trigger,deceptive,22,41532,3.0361430644989014
soft-trigger,deceptive,23,63138,3.0197865962982178
soft-trigger,deceptive,24,49611,3.0139317512512207
soft-trigger,deceptive,25,21237,2.946948289871216
soft-trigger,deceptive,26,49833,2.943880081176758
soft-trigger,deceptive,27,47491,2.931382417678833
soft-trigger,deceptive,28,39419,2.920233964920044
soft-trigger,deceptive,29,54933,2.911597490310669
soft-trigger,deceptive,30,57249,2.9077460765838623
soft-trigger,deceptive,31,59072,2.9050116539001465
soft-trigger,deceptive,32,32205,2.896552085876465
soft-trigger,deceptive,33,27230,2.8867886066436768
soft-trigger,deceptive,34,16880,2.8799736499786377
soft-trigger,deceptive,35,870,2.8714377880096436
soft-trigger,deceptive,36,53277,2.8527989387512207
soft-trigger,deceptive,37,12413,2.8486151695251465
soft-trigger,deceptive,38,22842,2.8183419704437256
soft-trigger,deceptive,39,20242,2.8180935382843018
soft-trigger,deceptive,40,37158,2.79960298538208
soft-trigger,deceptive,41,17856,2.797802686691284
soft-trigger,deceptive,42,26784,2.7946252822875977
soft-trigger,deceptive,43,50981,2.7910757064819336
soft-trigger,deceptive,44,1376,2.78914475440979
soft-trigger,deceptive,45,41640,2.7830302715301514
soft-trigger,deceptive,46,57630,2.7639760971069336
soft-trigger,deceptive,47,58295,2.763000726699829
soft-trigger,deceptive,48,53383,2.757723093032837
soft-trigger,deceptive,49,22593,2.7526869773864746
soft-trigger,deceptive,50,64806,2.726656436920166
